FIPS,CENSUS_2010_POP
28095,"36,989"
28097,"10,925"
28099,"29,676"
28101,"21,720"
28103,"11,545"
28105,"47,671"
28107,"34,707"
28109,"55,834"
28111,"12,250"
28113,"40,404"
28115,"29,957"
28117,"25,276"
28119,"8,223"
28121,"141,617"
28123,"28,264"
28125,"4,916"
28127,"27,503"
28129,"16,491"
28131,"17,786"
28133,"29,450"
28135,"15,378"
28137,"28,886"
28139,"22,232"
28141,"19,593"
28143,"10,778"
28145,"27,134"
28147,"15,443"
28149,"48,773"
28151,"51,137"
28153,"20,747"
28155,"10,253"
28157,"9,878"
28159,"19,198"
28161,"12,678"
28163,"28,065"
29001,"25,607"
29003,"17,291"
29005,"5,685"
29007,"25,529"
29009,"35,597"
29011,"12,402"
29013,"17,049"
29015,"19,056"
29017,"12,363"
29019,"162,642"
29021,"89,201"
29023,"42,794"
29025,"9,424"
29027,"44,332"
29029,"44,002"
29031,"75,674"
29033,"9,295"
29035,"6,265"
29037,"99,478"
29039,"13,982"
29041,"7,831"
29043,"77,422"
29045,"7,139"
29047,"221,939"
29049,"20,743"
29051,"75,990"
29053,"17,601"
29055,"24,696"
29057,"7,883"
29059,"16,777"
29061,"8,433"
29063,"12,892"
29065,"15,657"
29067,"13,684"
29069,"31,953"
29071,"101,492"
29073,"15,222"
29075,"6,738"
29077,"275,174"
29079,"10,261"
29081,"8,957"
29083,"22,272"
29085,"9,627"
29087,"4,912"
29089,"10,144"
29091,"40,400"
29093,"10,630"
29095,"674,158"
29097,"117,404"
29099,"218,733"
29101,"52,595"
29103,"4,131"
29105,"35,571"
29107,"33,381"
29109,"38,634"
29111,"10,211"
29113,"52,566"
29115,"12,761"
29117,"15,195"
29119,"23,083"
29121,"15,566"
